PC Model,Unit Price,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HP Elite SFF 800 G9 PC (4G087AV),3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690
LIFE BOOK U9313,4130,330400,330400,330400,330400,330400,330400,330400,330400,330400,330400,330400,330400
SurfacePro8,6750,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500
ThinkPad L13Gen2,4200,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600,75600
ThinkPad X13 Gen 4,4010,280700,280700,280700,280700,280700,280700,280700,280700,280700,280700,280700,280700
ThinkPad X13 Gen5,3800,0,0,0,76000,76000,76000,190000,190000,190000,190000,190000,190000
Dell Latitude 7440,4500,0,0,0,67500,67500,67500,112500,112500,112500,112500,112500,112500
Lenovo ThinkPad T16,5800,0,0,0,0,0,0,145000,145000,145000,145000,145000,145000
TOTAL,,703890,703890,703890,847390,847390,847390,1151390,1151390,1151390,1151390,1151390,1151390
